ticket_code,employee_id,technician_id,date_created,date_resolved,issue_category,issue_subcategory,priority,status,channel,resolution_time_hours,sla_target_hours,sla_met,satisfaction_score
TKT-00968,356,6,2026-02-11 11:27:00,2026-02-11 12:17:24,Security,Phishing Report,Critical,Resolved,Portal,0.84,4,1,4
TKT-00969,68,11,2025-08-27 10:20:00,2025-08-27 12:29:00,Hardware,Keyboard/Mouse,Critical,Closed,Portal,2.15,4,1,4
TKT-00970,154,10,2025-02-20 09:30:00,2025-02-21 17:57:00,Network,VPN Connection,Medium,Closed,Portal,32.45,24,0,1
TKT-00971,216,5,2025-04-21 16:45:00,2025-04-22 03:54:00,Hardware,Battery/Power,Medium,Resolved,Portal,11.15,24,1,4
TKT-00972,489,4,2026-01-13 19:37:00,2026-01-14 19:23:12,Network,VPN Connection,High,Resolved,Email,23.77,8,0,2
TKT-00973,351,1,2025-03-31 14:57:00,2025-04-03 00:16:12,Software,Microsoft 365 Issue,Medium,Resolved,Phone,57.32,24,0,1
TKT-00974,94,9,2025-05-06 18:29:00,2025-05-08 09:00:12,Hardware,Laptop Performance,Medium,Resolved,Email,38.52,24,0,2
TKT-00975,369,11,2025-02-05 11:32:00,2025-02-05 16:51:12,Network,VPN Connection,High,Resolved,Portal,5.32,8,1,5
TKT-00976,341,9,2025-11-13 10:42:00,2025-11-13 22:40:12,Hardware,Laptop Performance,Medium,Resolved,Email,11.97,24,1,4
TKT-00977,34,2,2026-07-29 10:57:00,2026-07-29 11:49:48,Network,Wi-Fi Connectivity,Critical,Resolved,Phone,0.88,4,1,5
TKT-00978,51,6,2025-06-05 13:06:00,2025-06-05 15:19:48,Account Access,Locked Account,Medium,Closed,Phone,2.23,24,1,5
TKT-00979,222,2,2025-06-04 16:54:00,2025-06-06 04:24:36,Network,VPN Connection,Medium,Resolved,Portal,35.51,24,0,2
TKT-00980,23,9,2026-04-06 08:12:00,2026-04-06 14:34:12,Software,Microsoft 365 Issue,Medium,Resolved,Portal,6.37,24,1,5
TKT-00981,238,10,2025-06-17 09:24:00,2025-06-17 12:13:12,Account Access,Password Reset,High,Resolved,Portal,2.82,8,1,5
TKT-00982,4,7,2026-01-23 14:51:00,2026-01-23 20:45:36,Account Access,Locked Account,Medium,Resolved,Phone,5.91,24,1,3
TKT-00983,212,4,2025-01-09 14:03:00,2025-01-09 21:21:00,Network,Wi-Fi Connectivity,Medium,Closed,Portal,7.30,24,1,5
TKT-00984,274,10,2025-11-12 08:23:00,2025-11-12 18:17:00,Network,DNS Resolution,High,Closed,Portal,9.90,8,0,1
TKT-00985,357,3,2026-08-20 10:00:00,2026-08-21 02:00:36,Printing,Printer Offline,Medium,Resolved,Email,16.01,24,1,4
TKT-00986,286,9,2025-05-22 12:04:00,2025-05-23 09:08:48,Printing,Printer Offline,Low,Resolved,Email,21.08,48,1,4
TKT-00987,6,1,2025-05-16 07:16:00,2025-05-16 10:47:12,Software,Software Installation,High,Resolved,Portal,3.52,8,1,3
TKT-00988,382,8,2026-01-19 14:38:00,2026-01-19 20:39:48,Printing,Print Queue Stuck,Medium,Resolved,Portal,6.03,24,1,5
TKT-00989,258,5,2025-04-02 09:09:00,2025-04-02 20:49:48,Account Access,Locked Account,Low,Resolved,Phone,11.68,48,1,5
TKT-00990,345,2,2025-08-13 10:08:00,2025-08-13 16:31:24,Network,No Internet Access,Medium,Resolved,Walk-up,6.39,24,1,4
TKT-00991,187,4,2026-07-23 10:35:00,2026-07-23 14:21:48,Account Access,MFA Issue,High,Resolved,Phone,3.78,8,1,4
TKT-00992,418,3,2025-05-13 15:14:00,2025-05-13 17:11:36,Account Access,Locked Account,High,Closed,Portal,1.96,8,1,4
TKT-00993,313,4,2026-05-21 14:48:00,2026-05-21 21:35:24,Security,Suspicious Email,Medium,Closed,Phone,6.79,24,1,4
TKT-00994,500,10,2026-04-16 11:26:00,2026-04-16 15:02:36,Software,Microsoft 365 Issue,Medium,Resolved,Email,3.61,24,1,4
TKT-00995,64,1,2025-12-23 12:50:00,2025-12-23 23:30:48,Network,VPN Connection,High,Resolved,Portal,10.68,8,0,1
TKT-00996,22,10,2025-04-08 17:52:00,2025-04-12 23:07:36,Network,VPN Connection,Low,Resolved,Phone,101.26,48,0,1
TKT-00997,48,2,2026-02-04 14:27:00,2026-02-07 06:05:24,Hardware,Battery/Power,Medium,Resolved,Email,63.64,24,0,2
TKT-00998,171,9,2025-09-08 08:29:00,2025-09-08 15:18:12,Security,Suspicious Email,High,Closed,Walk-up,6.82,8,1,4
TKT-00999,302,12,2025-04-18 08:40:00,2025-04-19 03:11:48,Security,Unauthorized Access Concern,High,Resolved,Phone,18.53,8,0,3
TKT-01000,69,5,2025-02-06 18:21:00,2025-02-07 01:15:00,Account Access,Permissions Request,Medium,Resolved,Phone,6.90,24,1,5
TKT-01001,416,2,2025-05-28 18:13:00,2025-05-29 06:34:00,Software,Application Access,Medium,Closed,Portal,12.35,24,1,4
TKT-01002,230,11,2025-10-03 15:13:00,2025-10-03 18:52:36,Printing,Printer Offline,Medium,Resolved,Phone,3.66,24,1,4
TKT-01003,196,8,2025-10-15 15:09:00,2025-10-15 19:00:36,Network,No Internet Access,Medium,Closed,Email,3.86,24,1,4
TKT-01004,410,2,2026-08-17 14:15:00,2026-08-18 18:33:36,Security,Phishing Report,Low,Resolved,Email,28.31,48,1,4
TKT-01005,361,10,2025-04-15 13:42:00,2025-04-15 16:59:24,Security,Malware Alert,High,Resolved,Email,3.29,8,1,5
TKT-01006,270,7,2025-09-17 12:49:00,2025-09-17 19:54:24,Software,Application Access,Medium,Closed,Email,7.09,24,1,5
TKT-01007,125,6,2025-10-03 10:53:00,2025-10-03 17:23:36,Software,Microsoft 365 Issue,High,Resolved,Email,6.51,8,1,3
TKT-01008,169,7,2026-01-26 13:07:00,2026-01-26 21:32:48,Software,Browser Issue,Medium,Resolved,Email,8.43,24,1,5
TKT-01009,453,8,2025-05-28 14:20:00,2025-06-01 11:14:36,Account Access,Locked Account,Low,Resolved,Portal,92.91,48,0,3
TKT-01010,409,3,2025-08-18 16:59:00,2025-08-20 20:20:36,Network,VPN Connection,Medium,Resolved,Portal,51.36,24,0,3
TKT-01011,91,5,2025-03-10 09:30:00,2025-03-11 03:44:24,Network,VPN Connection,Medium,Resolved,Phone,18.24,24,1,5
TKT-01012,239,9,2026-08-05 11:33:00,2026-08-09 14:37:12,Account Access,MFA Issue,Low,Resolved,Email,99.07,48,0,1
TKT-01013,383,7,2025-02-26 11:06:00,2025-02-26 15:30:36,Account Access,Locked Account,Medium,Closed,Portal,4.41,24,1,5
TKT-01014,407,1,2025-03-19 13:48:00,2025-03-19 17:52:12,Account Access,Locked Account,Medium,Resolved,Portal,4.07,24,1,5
TKT-01015,108,5,2025-01-02 11:14:00,2025-01-03 00:55:24,Software,Software Installation,Medium,Closed,Phone,13.69,24,1,3
TKT-01016,79,1,2026-02-13 12:44:00,2026-02-13 13:51:48,Printing,Print Queue Stuck,High,Resolved,Email,1.13,8,1,5
TKT-01017,79,10,2025-04-04 09:56:00,2025-04-04 11:19:24,Software,Software Installation,High,Resolved,Portal,1.39,8,1,5
TKT-01018,415,2,2025-10-24 08:55:00,2025-10-26 09:17:48,Software,Application Crash,Medium,Resolved,Portal,48.38,24,0,2
TKT-01019,442,8,2025-01-03 14:20:00,2025-01-03 21:12:12,Printing,Print Queue Stuck,Medium,Closed,Portal,6.87,24,1,4
TKT-01020,114,8,2026-07-22 13:44:00,2026-07-22 21:04:24,Security,Suspicious Email,High,Resolved,Portal,7.34,8,1,4
TKT-01021,264,7,2026-08-06 10:53:00,2026-08-07 04:47:36,Hardware,Laptop Won't Start,Medium,Resolved,Email,17.91,24,1,5
TKT-01022,1,12,2025-04-08 14:47:00,2025-04-10 13:24:12,Software,Application Crash,Medium,Resolved,Phone,46.62,24,0,2
TKT-01023,83,7,2026-07-28 14:44:00,2026-07-29 13:43:24,Account Access,Locked Account,Medium,Resolved,Portal,22.99,24,1,5
TKT-01024,144,12,2025-03-18 13:41:00,2025-03-19 06:48:48,Network,DNS Resolution,Low,Resolved,Walk-up,17.13,48,1,5
TKT-01025,202,3,2025-09-22 16:29:00,2025-09-22 22:16:24,Security,Suspicious Email,Medium,Resolved,Email,5.79,24,1,5
TKT-01026,196,8,2026-05-05 11:17:00,2026-05-06 18:23:00,Account Access,Password Reset,Medium,Resolved,Email,31.10,24,0,1
TKT-01027,114,10,2025-04-14 14:48:00,2025-04-14 15:54:36,Software,Microsoft 365 Issue,High,Resolved,Portal,1.11,8,1,5
TKT-01028,398,1,2025-05-30 17:56:00,2025-06-01 01:39:48,Hardware,Battery/Power,Medium,Resolved,Portal,31.73,24,0,2
TKT-01029,162,4,2026-03-27 12:49:00,2026-03-27 19:35:12,Software,Application Crash,Low,Resolved,Email,6.77,48,1,5
TKT-01030,462,6,2025-06-13 15:31:00,2025-06-14 07:22:36,Account Access,Password Reset,Low,Resolved,Walk-up,15.86,48,1,4
TKT-01031,396,12,2026-04-22 09:21:00,2026-04-22 10:14:24,Account Access,Password Reset,High,Closed,Portal,0.89,8,1,5
TKT-01032,337,1,2026-06-02 16:53:00,2026-06-02 19:14:00,Account Access,Permissions Request,Medium,Closed,Email,2.35,24,1,5
TKT-01033,74,6,2025-07-25 14:05:00,2025-07-25 22:27:12,Account Access,Locked Account,Medium,Closed,Phone,8.37,24,1,5
TKT-01034,489,7,2025-07-04 13:32:00,2025-07-05 17:56:36,Software,Application Crash,Medium,Resolved,Portal,28.41,24,0,3
TKT-01035,16,3,2025-10-02 08:19:00,2025-10-02 20:33:24,Hardware,Laptop Performance,Low,Resolved,Portal,12.24,48,1,5
TKT-01036,372,6,2026-01-20 17:55:00,2026-01-20 18:22:36,Account Access,Password Reset,High,Resolved,Email,0.46,8,1,5
TKT-01037,161,5,2026-04-13 08:16:00,2026-04-13 20:20:12,Account Access,MFA Issue,Medium,Resolved,Phone,12.07,24,1,5
TKT-01038,200,9,2026-07-27 09:21:00,2026-07-27 12:09:00,Printing,Printer Offline,Medium,Resolved,Phone,2.80,24,1,5
TKT-01039,190,10,2026-05-07 13:24:00,2026-05-07 13:52:48,Account Access,Password Reset,High,Resolved,Walk-up,0.48,8,1,5
TKT-01040,328,7,2025-01-20 11:58:00,2025-01-21 08:24:24,Hardware,Keyboard/Mouse,Medium,Closed,Portal,20.44,24,1,5
TKT-01041,200,12,2026-02-10 11:54:00,2026-02-10 20:40:12,Printing,Printer Offline,Medium,Resolved,Portal,8.77,24,1,4
TKT-01042,466,1,2025-08-20 11:51:00,2025-08-20 16:51:00,Network,Wi-Fi Connectivity,Medium,Resolved,Phone,5.00,24,1,5
TKT-01043,412,1,2025-09-16 07:32:00,2025-09-16 23:11:00,Account Access,Permissions Request,High,Resolved,Portal,15.65,8,0,3
TKT-01044,56,7,2025-09-29 19:36:00,2025-09-29 23:37:48,Printing,Driver Issue,Medium,Resolved,Phone,4.03,24,1,5
TKT-01045,218,4,2025-09-02 10:06:00,2025-09-03 03:10:12,Account Access,Locked Account,Low,Resolved,Portal,17.07,48,1,3
TKT-01046,68,4,2025-03-31 10:30:00,2025-03-31 19:08:24,Network,VPN Connection,Medium,Resolved,Portal,8.64,24,1,3
TKT-01047,313,11,2026-07-28 09:45:00,2026-07-29 00:39:00,Network,Slow Network,Medium,Resolved,Walk-up,14.90,24,1,5
TKT-01048,397,10,2025-03-26 13:18:00,2025-03-27 08:10:12,Software,Software Installation,Low,Resolved,Portal,18.87,48,1,4
TKT-01049,104,1,2026-08-04 16:10:00,2026-08-05 06:41:48,Software,Browser Issue,High,Closed,Email,14.53,8,0,3
TKT-01050,453,8,2025-01-30 15:41:00,2025-02-01 13:33:48,Printing,Print Queue Stuck,Medium,Resolved,Portal,45.88,24,0,2
TKT-01051,361,11,2025-11-03 17:35:00,2025-11-03 22:38:36,Network,Slow Network,Medium,Resolved,Email,5.06,24,1,4
TKT-01052,380,10,2026-01-20 11:01:00,2026-01-20 11:48:24,Account Access,Permissions Request,Critical,Resolved,Portal,0.79,4,1,5
TKT-01053,396,7,2026-04-22 11:48:00,2026-04-23 05:27:00,Printing,Printer Permissions,Low,Resolved,Portal,17.65,48,1,4
TKT-01054,342,9,2025-09-24 09:49:00,2025-09-24 12:08:48,Security,Phishing Report,Critical,Resolved,Portal,2.33,4,1,4
TKT-01055,6,2,2026-02-06 08:08:00,2026-02-07 15:23:36,Network,Slow Network,Medium,Resolved,Portal,31.26,24,0,3
TKT-01056,225,5,2025-03-28 16:34:00,2025-03-29 00:43:00,Account Access,Permissions Request,Medium,Closed,Portal,8.15,24,1,4
TKT-01057,340,10,2025-07-08 11:30:00,2025-07-08 21:17:24,Hardware,Monitor Issue,Medium,Closed,Phone,9.79,24,1,4
TKT-01058,150,4,2026-05-01 09:35:00,2026-05-01 14:10:24,Account Access,MFA Issue,Medium,Resolved,Email,4.59,24,1,4
TKT-01059,85,1,2025-08-26 15:53:00,2025-08-28 19:39:12,Account Access,Locked Account,Medium,Resolved,Walk-up,51.77,24,0,1
TKT-01060,107,12,2026-01-16 18:32:00,2026-01-17 02:30:12,Network,Wi-Fi Connectivity,High,Resolved,Walk-up,7.97,8,1,5
TKT-01061,73,6,2026-05-05 15:46:00,2026-05-06 01:03:24,Account Access,Locked Account,Medium,Closed,Portal,9.29,24,1,5
TKT-01062,475,10,2026-08-24 15:41:00,2026-08-24 18:54:48,Printing,Print Queue Stuck,Medium,Resolved,Email,3.23,24,1,5
TKT-01063,281,12,2025-04-10 12:51:00,2025-04-12 05:10:12,Network,No Internet Access,Medium,Closed,Portal,40.32,24,0,3
TKT-01064,370,1,2025-10-30 12:56:00,2025-10-30 14:35:00,Software,Application Crash,Medium,Closed,Portal,1.65,24,1,5
TKT-01065,73,4,2025-09-19 12:29:00,2025-09-20 23:14:36,Network,No Internet Access,Medium,Resolved,Phone,34.76,24,0,3
TKT-01066,157,9,2026-06-11 09:40:00,2026-06-16 03:09:24,Software,Microsoft 365 Issue,Low,Resolved,Portal,113.49,48,0,1
TKT-01067,243,1,2026-05-07 10:23:00,2026-05-11 16:23:00,Hardware,Keyboard/Mouse,Low,Closed,Walk-up,102.00,48,0,4
TKT-01068,493,4,2026-07-31 08:41:00,2026-07-31 20:51:12,Network,No Internet Access,High,Resolved,Email,12.17,8,0,1
TKT-01069,144,1,2026-01-08 09:01:00,2026-01-08 13:19:36,Network,VPN Connection,High,Resolved,Email,4.31,8,1,4
TKT-01070,267,1,2025-08-28 10:41:00,2025-08-28 19:25:24,Account Access,Locked Account,Medium,Resolved,Walk-up,8.74,24,1,4
TKT-01071,268,2,2025-05-08 08:44:00,2025-05-09 00:35:00,Network,VPN Connection,High,Resolved,Portal,15.85,8,0,3
TKT-01072,227,10,2025-03-31 12:17:00,2025-03-31 14:23:00,Security,Malware Alert,High,Resolved,Portal,2.10,8,1,4
TKT-01073,204,3,2026-05-19 10:47:00,2026-05-19 23:32:00,Hardware,Keyboard/Mouse,Medium,Resolved,Portal,12.75,24,1,4
TKT-01074,283,12,2025-11-25 08:12:00,2025-11-25 20:17:24,Printing,Printer Permissions,Medium,Resolved,Portal,12.09,24,1,4
TKT-01075,389,2,2025-12-17 11:18:00,2025-12-18 08:09:00,Printing,Print Queue Stuck,Low,Resolved,Portal,20.85,48,1,4
TKT-01076,399,1,2025-05-20 09:10:00,2025-05-24 04:37:00,Hardware,Monitor Issue,Low,Resolved,Walk-up,91.45,48,0,4
TKT-01077,323,6,2025-11-28 14:36:00,2025-11-28 23:48:36,Software,Microsoft 365 Issue,Medium,Resolved,Portal,9.21,24,1,5
TKT-01078,376,11,2026-08-18 16:56:00,2026-08-18 18:35:00,Account Access,Permissions Request,Critical,Resolved,Portal,1.65,4,1,5
TKT-01079,222,2,2025-01-23 11:50:00,2025-01-23 15:27:12,Account Access,Password Reset,Medium,Closed,Portal,3.62,24,1,4
TKT-01080,315,9,2025-07-10 09:00:00,2025-07-10 10:49:12,Account Access,Permissions Request,High,Closed,Phone,1.82,8,1,5
TKT-01081,191,6,2026-07-08 11:32:00,2026-07-08 12:42:48,Account Access,Password Reset,High,Resolved,Portal,1.18,8,1,4
TKT-01082,292,4,2026-06-03 16:20:00,2026-06-05 20:33:12,Printing,Printer Offline,Medium,Resolved,Phone,52.22,24,0,1
TKT-01083,478,6,2025-01-27 09:09:00,2025-01-27 19:10:12,Software,Application Crash,Medium,Resolved,Email,10.02,24,1,5
TKT-01084,432,5,2026-03-26 08:23:00,2026-03-26 12:19:24,Account Access,Locked Account,Low,Resolved,Phone,3.94,48,1,5
TKT-01085,102,6,2026-03-25 09:07:00,2026-03-26 02:41:12,Software,Application Crash,Medium,Resolved,Portal,17.57,24,1,3
TKT-01086,40,7,2025-11-12 13:52:00,2025-11-14 01:12:24,Network,DNS Resolution,Medium,Resolved,Walk-up,35.34,24,0,4
TKT-01087,340,7,2025-05-23 16:05:00,2025-05-24 12:10:24,Network,VPN Connection,Medium,Resolved,Portal,20.09,24,1,5
TKT-01088,196,10,2026-04-29 19:53:00,2026-04-30 05:30:12,Hardware,Monitor Issue,Medium,Resolved,Walk-up,9.62,24,1,5
TKT-01089,221,10,2025-10-21 14:16:00,2025-10-21 16:02:48,Account Access,MFA Issue,High,Resolved,Portal,1.78,8,1,5
TKT-01090,53,4,2026-05-06 11:12:00,2026-05-06 23:19:12,Software,Application Crash,Medium,Resolved,Phone,12.12,24,1,3
TKT-01091,364,10,2025-08-15 08:03:00,2025-08-15 15:41:24,Network,Wi-Fi Connectivity,Critical,Closed,Walk-up,7.64,4,0,4
TKT-01092,497,11,2026-07-08 15:28:00,2026-07-08 20:08:12,Software,Software Installation,Critical,Resolved,Portal,4.67,4,0,2
TKT-01093,448,8,2025-12-30 08:34:00,2025-12-30 21:58:00,Network,Slow Network,Medium,Resolved,Phone,13.40,24,1,5
TKT-01094,53,1,2026-06-16 11:30:00,2026-06-16 18:21:00,Software,Browser Issue,Medium,Closed,Phone,6.85,24,1,5
TKT-01095,358,4,2025-10-13 13:29:00,2025-10-13 20:09:48,Software,Application Crash,High,Resolved,Portal,6.68,8,1,5
TKT-01096,242,6,2025-12-09 10:30:00,2025-12-09 22:51:36,Printing,Printer Offline,Medium,Resolved,Portal,12.36,24,1,5
TKT-01097,409,5,2025-11-21 12:58:00,2025-11-21 18:40:36,Security,Unauthorized Access Concern,High,Resolved,Portal,5.71,8,1,5
TKT-01098,186,12,2025-05-28 09:40:00,2025-05-28 10:05:48,Software,Browser Issue,Critical,Closed,Phone,0.43,4,1,5
TKT-01099,284,8,2025-12-08 15:22:00,2025-12-10 03:14:48,Printing,Printer Offline,Medium,Resolved,Portal,35.88,24,0,3
TKT-01100,437,6,2026-07-08 10:55:00,2026-07-11 02:14:12,Printing,Driver Issue,Low,Resolved,Phone,63.32,48,0,4
TKT-01101,108,1,2025-07-23 14:16:00,2025-07-23 16:13:36,Software,Microsoft 365 Issue,Critical,Resolved,Email,1.96,4,1,3
TKT-01102,492,5,2025-11-17 14:01:00,2025-11-17 20:32:12,Network,VPN Connection,High,Resolved,Portal,6.52,8,1,4
TKT-01103,453,11,2026-04-24 18:19:00,2026-04-27 03:35:48,Network,VPN Connection,Medium,Resolved,Portal,57.28,24,0,3
TKT-01104,493,4,2026-08-13 07:20:00,2026-08-13 11:57:12,Software,Application Crash,Medium,Resolved,Email,4.62,24,1,4
TKT-01105,267,7,2025-09-18 08:39:00,2025-09-19 01:28:12,Software,Microsoft 365 Issue,Medium,Closed,Phone,16.82,24,1,4
TKT-01106,333,7,2025-08-29 09:29:00,2025-08-30 02:45:48,Hardware,Keyboard/Mouse,Medium,Closed,Phone,17.28,24,1,5
TKT-01107,241,4,2025-05-02 09:47:00,2025-05-02 15:13:24,Network,VPN Connection,High,Resolved,Portal,5.44,8,1,4
TKT-01108,84,7,2026-05-29 16:13:00,2026-05-29 21:50:12,Software,Application Access,Medium,Resolved,Portal,5.62,24,1,4
TKT-01109,141,12,2026-08-25 14:52:00,2026-08-26 14:39:24,Software,Application Crash,Medium,Resolved,Walk-up,23.79,24,1,5
TKT-01110,182,6,2026-07-15 13:27:00,2026-07-16 03:34:48,Printing,Print Queue Stuck,Low,Resolved,Email,14.13,48,1,4
TKT-01111,308,6,2025-07-03 08:27:00,2025-07-03 21:51:36,Network,VPN Connection,High,Resolved,Portal,13.41,8,0,2
TKT-01112,284,12,2026-08-11 10:51:00,2026-08-11 22:18:00,Software,Browser Issue,Medium,Resolved,Portal,11.45,24,1,3
TKT-01113,153,5,2025-02-13 15:52:00,2025-02-13 19:10:36,Software,Software Installation,High,Resolved,Portal,3.31,8,1,4
TKT-01114,74,5,2025-05-12 10:48:00,2025-05-12 13:49:12,Account Access,Password Reset,Medium,Resolved,Portal,3.02,24,1,3
TKT-01115,51,7,2026-08-27 18:40:00,2026-08-29 20:44:12,Network,Wi-Fi Connectivity,Medium,Resolved,Email,50.07,24,0,2
TKT-01116,374,6,2026-03-10 12:15:00,2026-03-11 07:31:48,Account Access,Locked Account,Low,Resolved,Portal,19.28,48,1,4
TKT-01117,182,7,2026-08-04 09:01:00,2026-08-04 11:38:12,Account Access,Password Reset,Medium,Closed,Portal,2.62,24,1,3
TKT-01118,497,7,2025-01-16 16:42:00,2025-01-17 01:41:24,Network,No Internet Access,High,Closed,Phone,8.99,8,0,4
TKT-01119,254,5,2025-04-02 09:10:00,2025-04-02 21:53:12,Software,Microsoft 365 Issue,High,Resolved,Phone,12.72,8,0,2
TKT-01120,257,10,2025-12-19 09:14:00,2025-12-19 14:11:00,Account Access,Password Reset,Medium,Resolved,Portal,4.95,24,1,5
TKT-01121,207,1,2025-03-10 15:50:00,2025-03-11 05:38:36,Network,VPN Connection,High,Closed,Portal,13.81,8,0,4
TKT-01122,61,9,2025-03-28 16:53:00,2025-03-29 00:39:48,Software,Application Crash,Medium,Resolved,Email,7.78,24,1,4
TKT-01123,165,12,2025-02-03 10:14:00,2025-02-03 15:06:48,Account Access,Permissions Request,Low,Resolved,Portal,4.88,48,1,4
TKT-01124,356,10,2025-05-21 13:18:00,2025-05-21 20:54:00,Security,Suspicious Email,Medium,Closed,Walk-up,7.60,24,1,3
TKT-01125,78,1,2025-11-14 10:05:00,2025-11-14 23:00:12,Software,Microsoft 365 Issue,Medium,Resolved,Portal,12.92,24,1,5
TKT-01126,194,3,2026-07-02 14:47:00,2026-07-02 15:44:00,Security,Phishing Report,Critical,Closed,Email,0.95,4,1,3
TKT-01127,95,11,2026-04-16 10:26:00,2026-04-16 13:48:12,Security,Phishing Report,Medium,Resolved,Walk-up,3.37,24,1,4
TKT-01128,197,8,2026-03-03 17:20:00,2026-03-04 02:45:12,Account Access,MFA Issue,Medium,Resolved,Phone,9.42,24,1,5
TKT-01129,242,9,2025-08-14 08:29:00,2025-08-14 09:13:24,Account Access,Password Reset,Medium,Resolved,Phone,0.74,24,1,4
TKT-01130,282,2,2025-02-04 07:48:00,2025-02-04 23:31:48,Printing,Printer Offline,Medium,Resolved,Email,15.73,24,1,5
TKT-01131,58,4,2025-07-21 15:13:00,2025-07-22 00:19:36,Account Access,MFA Issue,Medium,Resolved,Portal,9.11,24,1,4
TKT-01132,495,6,2026-04-06 15:53:00,2026-04-07 09:27:12,Software,Microsoft 365 Issue,Medium,Resolved,Portal,17.57,24,1,5
TKT-01133,253,3,2025-12-10 10:26:00,2025-12-11 14:46:24,Software,Application Access,Medium,Resolved,Portal,28.34,24,0,2
TKT-01134,462,5,2025-11-20 15:10:00,2025-11-20 16:13:36,Security,Lost/Stolen Device,Critical,Closed,Email,1.06,4,1,3
TKT-01135,281,2,2026-07-14 07:08:00,2026-07-14 10:29:00,Account Access,Permissions Request,Medium,Resolved,Portal,3.35,24,1,4
TKT-01136,441,9,2025-10-10 11:54:00,2025-10-12 01:01:48,Account Access,Permissions Request,Medium,Resolved,Portal,37.13,24,0,2
TKT-01137,158,4,2026-02-10 11:37:00,2026-02-13 20:54:24,Hardware,Keyboard/Mouse,Low,Resolved,Email,81.29,48,0,4
TKT-01138,65,6,2026-05-15 15:13:00,2026-05-16 07:35:12,Software,Microsoft 365 Issue,Medium,Resolved,Portal,16.37,24,1,4
TKT-01139,112,8,2026-06-29 08:18:00,2026-06-29 15:30:36,Network,Wi-Fi Connectivity,Medium,Resolved,Portal,7.21,24,1,4
TKT-01140,236,8,2025-07-10 19:26:00,2025-07-11 07:39:48,Printing,Print Queue Stuck,Medium,Closed,Email,12.23,24,1,5
TKT-01141,90,10,2025-11-27 13:02:00,2025-11-27 23:20:36,Printing,Driver Issue,Low,Resolved,Portal,10.31,48,1,4
TKT-01142,425,7,2025-05-21 13:41:00,2025-05-21 18:27:48,Hardware,Laptop Performance,Medium,Resolved,Walk-up,4.78,24,1,5
TKT-01143,117,12,2026-02-24 17:35:00,2026-02-24 18:18:48,Account Access,Password Reset,High,Resolved,Email,0.73,8,1,5
TKT-01144,441,12,2025-04-10 17:00:00,2025-04-11 06:19:48,Network,Slow Network,Medium,Resolved,Email,13.33,24,1,5
TKT-01145,278,7,2026-03-02 14:56:00,2026-03-03 15:03:48,Software,Software Installation,Low,Resolved,Portal,24.13,48,1,4
TKT-01146,121,7,2026-04-24 12:56:00,2026-04-26 01:28:24,Network,VPN Connection,Medium,Resolved,Portal,36.54,24,0,3
TKT-01147,268,12,2025-03-17 11:30:00,2025-03-17 13:28:48,Account Access,MFA Issue,Medium,Resolved,Portal,1.98,24,1,4
TKT-01148,174,6,2026-07-28 14:40:00,2026-07-29 03:50:12,Hardware,Docking Station,High,Resolved,Email,13.17,8,0,4
TKT-01149,356,1,2025-12-01 19:26:00,2025-12-02 12:06:48,Account Access,Permissions Request,Low,Closed,Portal,16.68,48,1,4
TKT-01150,172,4,2025-05-05 18:31:00,2025-05-06 02:46:00,Software,Application Access,High,Resolved,Portal,8.25,8,0,2
TKT-01151,167,3,2025-05-02 13:19:00,2025-05-02 19:29:48,Printing,Printer Permissions,Low,Resolved,Portal,6.18,48,1,5
TKT-01152,441,4,2025-03-13 07:51:00,2025-03-13 13:03:36,Network,Slow Network,Critical,Closed,Phone,5.21,4,0,4
TKT-01153,468,7,2025-11-21 15:39:00,2025-11-21 18:42:00,Hardware,Laptop Performance,High,Resolved,Portal,3.05,8,1,5
TKT-01154,279,12,2025-11-10 15:28:00,2025-11-11 00:28:00,Software,Microsoft 365 Issue,High,Resolved,Phone,9.00,8,0,4
TKT-01155,324,4,2026-06-19 16:23:00,2026-06-20 03:12:12,Security,Phishing Report,Medium,Resolved,Email,10.82,24,1,4
TKT-01156,177,12,2025-05-13 18:51:00,2025-05-13 20:37:48,Account Access,Password Reset,Medium,Resolved,Email,1.78,24,1,4
TKT-01157,263,4,2025-05-30 13:17:00,2025-06-01 07:35:00,Network,Slow Network,Medium,Resolved,Phone,42.30,24,0,2
TKT-01158,2,7,2026-08-17 10:59:00,2026-08-19 03:32:36,Network,VPN Connection,Medium,Closed,Portal,40.56,24,0,1
TKT-01159,418,3,2025-07-16 08:14:00,2025-07-16 21:26:00,Software,Software Installation,Medium,Resolved,Portal,13.20,24,1,3
TKT-01160,135,4,2025-02-12 11:48:00,2025-02-12 23:28:12,Network,No Internet Access,High,Closed,Email,11.67,8,0,3
TKT-01161,5,7,2025-04-23 17:28:00,2025-04-23 22:41:12,Security,Suspicious Email,High,Resolved,Portal,5.22,8,1,4
TKT-01162,231,8,2025-03-19 18:03:00,2025-03-23 20:18:36,Account Access,Password Reset,Low,Resolved,Walk-up,98.26,48,0,3
TKT-01163,69,1,2026-01-15 11:22:00,2026-01-15 18:55:00,Printing,Printer Offline,Low,Resolved,Portal,7.55,48,1,4
TKT-01164,153,9,2025-06-26 09:03:00,2025-06-26 10:22:12,Security,Phishing Report,High,Resolved,Portal,1.32,8,1,4
